Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 11.4, 1,    6511.29,   -0.9,   0.98929, 2,    6511.29, -120.9,   0.98929, 3,    6511.29,  119.1,   0.98929
"2", 11.4, 1,    6437.04,   -1.3,   0.97801, 2,    6437.04, -121.3,   0.97801, 3,    6437.04,  118.7,   0.97801
"3", 11.4, 1,    6402.16,   -1.6,   0.97271, 2,    6402.16, -121.6,   0.97271, 3,    6402.16,  118.4,   0.97271
"4", 11.4, 1,    6381.67,   -1.9,   0.96959, 2,    6381.67, -121.9,   0.96959, 3,    6381.67,  118.1,   0.96959
"5", 11.4, 1,    6375.19,   -1.9,   0.96861, 2,    6375.19, -121.9,   0.96861, 3,    6375.19,  118.1,   0.96861
"6", 11.4, 1,    6335.64,   -2.6,    0.9626, 2,    6335.64, -122.6,    0.9626, 3,    6335.64,  117.4,    0.9626
"7", 11.4, 1,    6354.09,   -2.5,    0.9654, 2,    6354.09, -122.5,    0.9654, 3,    6354.09,  117.5,    0.9654
"8", 11.4, 1,    6352.08,   -2.5,    0.9651, 2,    6352.08, -122.5,    0.9651, 3,    6352.08,  117.5,    0.9651
"9", 11.4, 1,    6357.56,   -2.3,   0.96593, 2,    6357.56, -122.3,   0.96593, 3,    6357.56,  117.7,   0.96593
"10", 11.4, 1,    6407.52,   -2.1,   0.97352, 2,    6407.52, -122.1,   0.97352, 3,    6407.52,  117.9,   0.97352
