Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 11.4, 1,     6501.3,   -1.1,   0.98777, 2,     6501.3, -121.1,   0.98777, 3,     6501.3,  118.9,   0.98777
"2", 11.4, 1,    6413.44,   -1.6,   0.97442, 2,    6413.44, -121.6,   0.97442, 3,    6413.44,  118.4,   0.97442
"3", 11.4, 1,    6373.37,   -2.1,   0.96833, 2,    6373.37, -122.1,   0.96833, 3,    6373.37,  117.9,   0.96833
"4", 11.4, 1,    6347.89,   -2.4,   0.96446, 2,    6347.89, -122.4,   0.96446, 3,    6347.89,  117.6,   0.96446
"5", 11.4, 1,    6335.91,   -2.5,   0.96264, 2,    6335.91, -122.5,   0.96264, 3,    6335.91,  117.5,   0.96264
"6", 11.4, 1,    6266.27,   -3.9,   0.95206, 2,    6266.27, -123.9,   0.95206, 3,    6266.27,  116.1,   0.95206
"7", 11.4, 1,       6269,   -4.2,   0.95248, 2,       6269, -124.2,   0.95248, 3,       6269,  115.8,   0.95248
"8", 11.4, 1,    6260.03,   -4.3,   0.95111, 2,    6260.03, -124.3,   0.95111, 3,    6260.03,  115.7,   0.95111
"9", 11.4, 1,    6260.03,   -4.3,   0.95111, 2,    6260.03, -124.3,   0.95111, 3,    6260.03,  115.7,   0.95111
"10", 11.4, 1,    6260.03,   -4.3,   0.95111, 2,    6260.03, -124.3,   0.95111, 3,    6260.03,  115.7,   0.95111
