Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 11.4, 1,    6545.58,   -2.0,    0.9945, 2,    6545.58, -122.0,    0.9945, 3,    6545.58,  118.0,    0.9945
"2", 11.4, 1,    6467.54,   -3.1,   0.98264, 2,    6467.54, -123.1,   0.98264, 3,    6467.54,  116.9,   0.98264
"3", 11.4, 1,    6439.52,   -4.1,   0.97838, 2,    6439.52, -124.1,   0.97838, 3,    6439.52,  115.9,   0.97838
"4", 11.4, 1,    6424.93,   -4.3,   0.97617, 2,    6424.93, -124.3,   0.97617, 3,    6424.93,  115.7,   0.97617
"5", 11.4, 1,    6422.02,   -4.4,   0.97572, 2,    6422.02, -124.4,   0.97572, 3,    6422.02,  115.6,   0.97572
"6", 11.4, 1,    6393.51,   -4.8,   0.97139, 2,    6393.51, -124.8,   0.97139, 3,    6393.51,  115.2,   0.97139
"7", 11.4, 1,    6393.51,   -4.8,   0.97139, 2,    6393.51, -124.8,   0.97139, 3,    6393.51,  115.2,   0.97139
"8", 11.4, 1,    6422.02,   -4.4,   0.97572, 2,    6422.02, -124.4,   0.97572, 3,    6422.02,  115.6,   0.97572
"9", 0.22, 1,    123.917,   -4.4,   0.97559, 0, 0, 0, 0, 0, 0, 0, 0
"10", 0.22, 1,    123.917,   -4.4,   0.97559, 0, 0, 0, 0, 0, 0, 0, 0
